saas.sin.fan:443#麒麟优选 | 06-02 00:40 | BestCF.pages.dev
172.64.40.236:443#麒麟优选 | 电信 | 172.64.40.236 | 46.50ms | 13.07mb/s
104.18.39.108:443#麒麟优选 | 电信 | 104.18.39.108 | 46.55ms | 8.08mb/s
172.64.42.81:443#麒麟优选 | 电信 | 172.64.42.81 | 46.38ms | 1.28mb/s
172.64.34.187:443#麒麟优选 | 电信 | 172.64.34.187 | 46.61ms | 0.52mb/s
162.159.42.153:443#麒麟优选 | 电信 | 162.159.42.153 | 46.38ms | 0.46mb/s
162.159.0.18:443#麒麟优选 | 电信 | 162.159.0.18 | 46.67ms | 0.44mb/s
162.159.7.40:443#麒麟优选 | 电信 | 162.159.7.40 | 45.93ms | 0.43mb/s
162.159.21.197:443#麒麟优选 | 电信 | 162.159.21.197 | 46.51ms | 0.41mb/s
162.159.14.47:443#麒麟优选 | 电信 | 162.159.14.47 | 46.60ms | 0.36mb/s
172.64.153.251:443#麒麟优选 | 电信 | 172.64.153.251 | 46.40ms | 0.34mb/s
172.67.79.214:443#麒麟优选 | 联通 | 172.67.79.214 | 122.49ms | 0.95mb/s
104.20.22.39:443#麒麟优选 | 联通 | 104.20.22.39 | 121.92ms | 0.57mb/s
104.26.3.202:443#麒麟优选 | 联通 | 104.26.3.202 | 123.52ms | 0.51mb/s
104.20.19.236:443#麒麟优选 | 联通 | 104.20.19.236 | 120.82ms | 0.38mb/s
172.67.70.146:443#麒麟优选 | 联通 | 172.67.70.146 | 120.24ms | 0.36mb/s
104.26.12.62:443#麒麟优选 | 联通 | 104.26.12.62 | 122.38ms | 0.34mb/s
172.67.72.62:443#麒麟优选 | 联通 | 172.67.72.62 | 123.31ms | 0.29mb/s
104.26.11.250:443#麒麟优选 | 联通 | 104.26.11.250 | 123.67ms | 0.21mb/s
104.20.16.241:443#麒麟优选 | 联通 | 104.20.16.241 | 123.56ms | 0.20mb/s
104.26.7.147:443#麒麟优选 | 联通 | 104.26.7.147 | 121.13ms | 0.19mb/s
104.19.41.135:443#麒麟优选 | 移动 | 104.19.41.135 | 50.82ms | 0.19mb/s
104.17.174.83:443#麒麟优选 | 移动 | 104.17.174.83 | 50.82ms | 0.19mb/s
104.17.208.4:443#麒麟优选 | 移动 | 104.17.208.4 | 50.58ms | 0.13mb/s
104.18.93.105:443#麒麟优选 | 移动 | 104.18.93.105 | 50.92ms | 0.13mb/s
104.19.148.110:443#麒麟优选 | 移动 | 104.19.148.110 | 48.99ms | 0.12mb/s
104.18.92.176:443#麒麟优选 | 移动 | 104.18.92.176 | 50.88ms | 0.12mb/s
104.19.44.234:443#麒麟优选 | 移动 | 104.19.44.234 | 49.84ms | 0.12mb/s
104.17.101.25:443#麒麟优选 | 移动 | 104.17.101.25 | 50.58ms | 0.11mb/s
104.17.222.69:443#麒麟优选 | 移动 | 104.17.222.69 | 49.82ms | 0.11mb/s
104.17.48.105:443#麒麟优选 | 移动 | 104.17.48.105 | 50.39ms | 0.11mb/s
172.64.229.63:443#麒麟优选 | 多线 | 172.64.229.63 | 38.18ms | 14.39mb/s
172.64.52.214:443#麒麟优选 | 多线 | 172.64.52.214 | 62.00ms | 14.24mb/s
162.159.45.221:443#麒麟优选 | 多线 | 162.159.45.221 | 68.07ms | 14.20mb/s
104.18.45.2:443#麒麟优选 | 多线 | 104.18.45.2 | 68.92ms | 0.53mb/s
162.159.33.77:443#麒麟优选 | 多线 | 162.159.33.77 | 68.44ms | 0.31mb/s
162.159.39.87:443#麒麟优选 | 多线 | 162.159.39.87 | 47.97ms | 0.19mb/s
104.18.41.132:443#麒麟优选 | 多线 | 104.18.41.132 | 67.12ms | 0.18mb/s
172.64.53.93:443#麒麟优选 | 多线 | 172.64.53.93 | 55.36ms | 0.14mb/s
104.18.34.9:443#麒麟优选 | 多线 | 104.18.34.9 | 68.28ms | 0.14mb/s
172.64.50.78:443#麒麟优选 | 多线 | 172.64.50.78 | 66.94ms | 0.13mb/s
bestcf.030101.xyz:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
